Feature,Absolute Coefficient
FireplaceQu_TA,0.001432724537070202
Condition2_PosN,0.001286343772598436
ExterCond_Fa,0.0012615611534777479
Exterior1st_CBlock,0.0011918413839645964
BsmtCond_None,0.0011820204597266398
TotalPorchSF,0.0011762870414593004
Neighborhood_Veenker,0.0011577264324389512
Neighborhood_SawyerW,0.0011334586780160309
OpenPorchSF,0.0008808027205295488
BsmtFullBath,0.0008362420569851586
Heating_OthW,0.000797066023975361
HalfBath,0.0007739281017688665
BsmtExposure_Mn,0.0007518017820886772
Exterior2nd_CBlock,0.0007208672105341332
SaleType_ConLI,0.0006732963047137243
Neighborhood_Somerst,0.000673222517861177
Exterior1st_Stone,0.0006519053536883972
Condition1_PosA,0.0006398039849437286
RoofMatl_Roll,0.0005825898357615942
Exterior2nd_ImStucc,0.0005261612623561113
FireplaceQu_Fa,0.0005237843806998857
RoofMatl_WdShake,0.0004736723023460503
Neighborhood_BrDale,0.0004536585050413702
MoSold,0.00044265367202500557
BsmtExposure_None,0.00043742117633950643
Heating_Wall,0.0004313353890733242
LowQualFinSF,0.00038846118488538147
Exterior1st_WdShing,0.00037872257566627686
SaleType_ConLw,0.00037703488990659416
MiscVal,0.00030419685666195493
Exterior1st_AsphShn,0.0003025353546731618
Exterior2nd_BrkFace,0.000299252307456535
PavedDrive_P,0.0002753800746545372
HouseStyle_2Story,0.00027326697437211526
Neighborhood_Blueste,0.0001714314123068202
GarageQual_Gd,0.00016371598660199586
Electrical_FuseF,0.0001441270865383908
BsmtFinType1_None,0.00013269349639405216
LandSlope_Mod,9.783592231746341e-05
BsmtFinType2_None,4.090768121206324e-05
HasBsmt,1.679115891747188e-06
MiscFeature_Shed,0.0
SaleCondition_Family,0.0
GarageType_Attchd,0.0
GarageCond_Gd,0.0
FireplaceQu_None,0.0
MiscFeature_None,0.0
GarageType_Detchd,0.0
GarageType_None,0.0
GarageFinish_None,0.0
GarageCond_None,0.0
PoolQC_None,0.0
GarageFinish_RFn,0.0
GarageFinish_Unf,0.0
GarageQual_None,0.0
GarageCond_TA,0.0
GarageQual_TA,0.0
MSSubClass,0.0
FireplaceQu_Gd,0.0
LandContour_HLS,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_Membran,0.0
RoofStyle_Hip,0.0
RoofStyle_Gambrel,0.0
HouseStyle_SLvl,0.0
HouseStyle_1Story,0.0
BldgType_TwnhsE,0.0
Neighborhood_OldTown,0.0
Neighborhood_CollgCr,0.0
HasFireplace,0.0
Exterior1st_VinylSd,0.0
HasGarage,0.0
Has2ndFloor,0.0
HasPool,0.0
EnclosedPorch,0.0
FullBath,0.0
2ndFlrSF,0.0
BsmtFinSF2,0.0
MasVnrArea,0.0
YearRemodAdd,0.0
Exterior1st_CemntBd,0.0
Exterior2nd_AsphShn,0.0
Functional_Sev,0.0
Foundation_Slab,0.0
Functional_Min2,0.0
Electrical_Mix,0.0
HeatingQC_Po,0.0
HeatingQC_Fa,0.0
Heating_GasA,0.0
