Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Test_RMSE_Original,Test_MAE_Original
Linear Regression,0.08509058483624778,0.13767268178606634,0.059208517283761516,0.08924130789418891,0.9540075288100651,0.8875656223942018,21289.527855983713,14761.934775833073
Ridge Regression,0.08749937473254181,0.12512658825085593,0.061290874935411674,0.08553808910185808,0.9513667126093945,0.9071241542223719,20935.315482080227,14650.814538753715
Lasso Regression,0.08900207581803594,0.12152942168500533,0.06273916281149132,0.08363570167980279,0.9496819271456065,0.9123874263563361,20539.02740255424,14390.455253553708
ElasticNet,0.08910303806190346,0.12151927282232139,0.06277935949977488,0.08356624633128663,0.9495677026862139,0.9124020587118592,20527.15048591536,14382.842041469132
Random Forest,0.050034329244139426,0.14469345763153546,0.03436176625165682,0.09715646019207129,0.9840977018459084,0.875805785478882,23594.828885215302,16491.3275155167
Gradient Boosting,0.07529187035169212,0.12924038308794925,0.05524739688249366,0.08810752563084905,0.9639902671674218,0.9009167943649297,21132.181605729376,15032.198686131269
XGBoost,0.08031349166651533,0.12742400994834951,0.05738031386372152,0.08625482599264717,0.9590267189500102,0.9036822982302463,20486.298294897104,14582.440804259428
